Alleles Observed-SFS Expected
0 0.846270 0.872373
1 0.059543 0.036333
2 0.024900 0.015040
3 0.010826 0.008351
4 0.010826 0.005446
5 0.006496 0.003914
6 0.005413 0.003013
7 0.001083 0.002439
8 0.003248 0.002051
9 0.003248 0.001776
10 0.002165 0.001571
11 0.000000 0.001414
12 0.000000 0.001289
13 0.001083 0.001188
14 0.000000 0.001104
15 0.000000 0.001033
16 0.002165 0.000971
17 0.003248 0.000918
18 0.000000 0.000871
19 0.002165 0.000829
20 0.002165 0.000792
21 0.000000 0.000758
22 0.000000 0.000728
23 0.001083 0.000700
24 0.000000 0.000675
25 0.000000 0.000652
26 0.000000 0.000630
27 0.001083 0.000610
28 0.000000 0.000592
29 0.000000 0.000575
30 0.001083 0.000559
31 0.000000 0.000545
32 0.000000 0.000531
33 0.000000 0.000518
34 0.000000 0.000506
35 0.002165 0.000494
36 0.000000 0.000484
37 0.002165 0.000474
38 0.000000 0.000464
39 0.000000 0.000455
40 0.000000 0.000447
41 0.000000 0.000438
42 0.001083 0.000431
43 0.000000 0.000424
44 0.000000 0.000417
45 0.000000 0.000410
46 0.000000 0.000404
47 0.000000 0.000398
48 0.000000 0.000392
49 0.000000 0.000387
50 0.000000 0.000382
51 0.000000 0.000377
52 0.000000 0.000372
53 0.000000 0.000368
54 0.000000 0.000364
55 0.000000 0.000360
56 0.000000 0.000356
57 0.000000 0.000352
58 0.000000 0.000348
59 0.000000 0.000345
60 0.001083 0.000342
61 0.000000 0.000339
62 0.000000 0.000336
63 0.000000 0.000333
64 0.000000 0.000330
65 0.000000 0.000328
66 0.000000 0.000325
67 0.000000 0.000323
68 0.000000 0.000321
69 0.000000 0.000318
70 0.000000 0.000316
71 0.000000 0.000314
72 0.000000 0.000313
73 0.000000 0.000311
74 0.002165 0.000309
75 0.000000 0.000308
76 0.000000 0.000306
77 0.001083 0.000305
78 0.000000 0.000303
79 0.000000 0.000302
80 0.000000 0.000301
81 0.000000 0.000300
82 0.001083 0.000299
83 0.000000 0.000298
84 0.000000 0.000297
85 0.000000 0.000296
86 0.000000 0.000295
87 0.000000 0.000295
88 0.001083 0.000294
89 0.000000 0.000293
90 0.000000 0.000293
91 0.000000 0.000293
92 0.000000 0.000292
93 0.000000 0.000292
94 0.000000 0.000292
95 0.000000 0.000291
96 0.000000 0.000291
97 0.000000 0.000291
