Alleles Observed-SFS Expected
0 0.989029 0.984908
1 0.007188 0.007197
2 0.002270 0.001949
3 0.000000 0.000878
4 0.000000 0.000513
5 0.000000 0.000340
6 0.000000 0.000246
7 0.000000 0.000189
8 0.000378 0.000153
9 0.000000 0.000127
10 0.000000 0.000109
11 0.000000 0.000095
12 0.000757 0.000085
13 0.000000 0.000076
14 0.000000 0.000069
15 0.000000 0.000063
16 0.000000 0.000058
17 0.000000 0.000054
18 0.000000 0.000050
19 0.000000 0.000047
20 0.000000 0.000044
21 0.000000 0.000042
22 0.000000 0.000040
23 0.000000 0.000038
24 0.000000 0.000036
25 0.000000 0.000034
26 0.000000 0.000033
27 0.000000 0.000031
28 0.000000 0.000030
29 0.000000 0.000029
30 0.000000 0.000028
31 0.000000 0.000027
32 0.000000 0.000026
33 0.000000 0.000025
34 0.000000 0.000024
35 0.000000 0.000023
36 0.000000 0.000023
37 0.000000 0.000022
38 0.000000 0.000021
39 0.000378 0.000021
40 0.000000 0.000020
41 0.000000 0.000020
42 0.000000 0.000019
43 0.000000 0.000019
44 0.000000 0.000018
45 0.000000 0.000018
46 0.000000 0.000018
47 0.000000 0.000017
48 0.000000 0.000017
49 0.000000 0.000017
50 0.000000 0.000016
51 0.000000 0.000016
52 0.000000 0.000016
53 0.000000 0.000016
54 0.000000 0.000015
55 0.000000 0.000015
56 0.000000 0.000015
57 0.000000 0.000015
58 0.000000 0.000014
59 0.000000 0.000014
60 0.000000 0.000014
61 0.000000 0.000014
62 0.000000 0.000014
63 0.000000 0.000013
64 0.000000 0.000013
65 0.000000 0.000013
66 0.000000 0.000013
67 0.000000 0.000013
68 0.000000 0.000013
69 0.000000 0.000013
70 0.000000 0.000013
71 0.000000 0.000012
72 0.000000 0.000012
73 0.000000 0.000012
74 0.000000 0.000012
75 0.000000 0.000012
76 0.000000 0.000012
77 0.000000 0.000012
78 0.000000 0.000012
79 0.000000 0.000012
80 0.000000 0.000012
81 0.000000 0.000012
82 0.000000 0.000012
83 0.000000 0.000011
84 0.000000 0.000011
85 0.000000 0.000011
86 0.000000 0.000011
87 0.000000 0.000011
88 0.000000 0.000011
89 0.000000 0.000011
90 0.000000 0.000011
91 0.000000 0.000011
92 0.000000 0.000011
93 0.000000 0.000011
94 0.000000 0.000011
95 0.000000 0.000011
96 0.000000 0.000011
97 0.000000 0.000011
